problem_id,category,title,input_size,go_median_ns,v_median_ns,go_speedup_over_v,faster,checksum_match
42,BinaryTree,236 Lowest Common Ancestor,512,12.000000,15.000000,1.250000,go,true
42,BinaryTree,236 Lowest Common Ancestor,2048,14.000000,17.000000,1.214286,go,true
42,BinaryTree,236 Lowest Common Ancestor,8192,16.000000,20.000000,1.250000,go,true
43,BST,98 Validate BST,512,3219.000000,5551.000000,1.724449,go,true
43,BST,98 Validate BST,2048,12690.500000,21881.000000,1.724203,go,true
43,BST,98 Validate BST,8192,51949.000000,89625.000000,1.725250,go,true
44,BST,230 Kth Smallest,512,650.500000,1584.000000,2.435050,go,true
44,BST,230 Kth Smallest,2048,2590.000000,5700.500000,2.200965,go,true
44,BST,230 Kth Smallest,8192,10390.000000,21453.000000,2.064774,go,true
45,Graph,200 Number of Islands,512,2395.000000,4170.500000,1.741336,go,true
45,Graph,200 Number of Islands,2048,9957.500000,16483.500000,1.655385,go,true
45,Graph,200 Number of Islands,8192,39952.000000,62768.000000,1.571085,go,true
46,Graph,207 Course Schedule,512,12675.000000,37799.000000,2.982170,go,true
46,Graph,207 Course Schedule,2048,48626.500000,145615.000000,2.994561,go,true
46,Graph,207 Course Schedule,8192,190577.500000,652594.000000,3.424297,go,true
47,Graph,210 Course Schedule II,512,11483.500000,42141.500000,3.669744,go,true
47,Graph,210 Course Schedule II,2048,46445.500000,187298.000000,4.032640,go,true
47,Graph,210 Course Schedule II,8192,198905.000000,765594.000000,3.849044,go,true
48,UnionFind,684 Redundant Connection,512,1988.500000,8165.000000,4.106110,go,true
48,UnionFind,684 Redundant Connection,2048,8276.000000,31175.000000,3.766916,go,true
48,UnionFind,684 Redundant Connection,8192,30612.500000,131018.500000,4.279902,go,true
49,Trie,208 Implement Trie,512,179118.000000,569916.000000,3.181791,go,true
49,Trie,208 Implement Trie,2048,1720016.500000,2124699.500000,1.235279,go,true
49,Trie,208 Implement Trie,8192,6923550.000000,8207600.000000,1.185461,go,true
50,Fenwick,307 Range Sum Query Mutable,512,5880.000000,8042.000000,1.367687,go,true
50,Fenwick,307 Range Sum Query Mutable,2048,28305.000000,35726.500000,1.262197,go,true
50,Fenwick,307 Range Sum Query Mutable,8192,238363.500000,219324.500000,0.920126,v,true
