language,problem_id,category,title,core,input_size,trials,median_ns,mean_ns,min_ns,max_ns,checksum
go,21,LinkedList,19 Remove Nth From End,fast slow pointers,2048,20,10327.000000,10638.150000,9600.000000,12710.000000,6913196907693207858
v,21,LinkedList,19 Remove Nth From End,fast slow pointers,2048,20,31669.000000,31908.150000,30882.000000,33384.000000,6913196907693207858
go,21,LinkedList,19 Remove Nth From End,fast slow pointers,8192,20,36584.000000,37250.900000,35499.000000,42598.000000,4159530602324907314
v,21,LinkedList,19 Remove Nth From End,fast slow pointers,8192,20,115643.000000,119969.950000,110485.000000,143077.000000,4159530602324907314
go,22,LinkedList,160 Intersection Linked List,two pointer sync,512,20,194.000000,194.900000,192.000000,202.000000,597
v,22,LinkedList,160 Intersection Linked List,two pointer sync,512,20,152.000000,151.600000,148.000000,156.000000,597
go,22,LinkedList,160 Intersection Linked List,two pointer sync,2048,20,765.000000,765.700000,753.000000,788.000000,2389
v,22,LinkedList,160 Intersection Linked List,two pointer sync,2048,20,582.500000,581.850000,570.000000,596.000000,2389
go,22,LinkedList,160 Intersection Linked List,two pointer sync,8192,20,3043.500000,3062.800000,2979.000000,3325.000000,9557
v,22,LinkedList,160 Intersection Linked List,two pointer sync,8192,20,2277.500000,2282.200000,2237.000000,2338.000000,9557
go,23,LinkedList,142 Linked List Cycle II,fast slow entry,512,20,1356.500000,1390.050000,1328.000000,1602.000000,170
v,23,LinkedList,142 Linked List Cycle II,fast slow entry,512,20,3656.000000,3698.000000,3541.000000,4032.000000,170
go,23,LinkedList,142 Linked List Cycle II,fast slow entry,2048,20,5256.500000,5395.100000,5198.000000,7068.000000,682
v,23,LinkedList,142 Linked List Cycle II,fast slow entry,2048,20,15845.500000,16095.850000,14535.000000,19186.000000,682
go,23,LinkedList,142 Linked List Cycle II,fast slow entry,8192,20,20955.000000,21381.350000,20343.000000,23218.000000,2730
v,23,LinkedList,142 Linked List Cycle II,fast slow entry,8192,20,60312.000000,60708.100000,57817.000000,65370.000000,2730
go,24,Stack,20 Valid Parentheses,stack matching,512,20,9615.000000,9676.850000,9319.000000,10429.000000,1
v,24,Stack,20 Valid Parentheses,stack matching,512,20,8197.500000,8592.050000,7919.000000,11071.000000,1
go,24,Stack,20 Valid Parentheses,stack matching,2048,20,40849.500000,41272.350000,38271.000000,45416.000000,1
v,24,Stack,20 Valid Parentheses,stack matching,2048,20,32576.500000,32775.450000,31939.000000,34840.000000,1
go,24,Stack,20 Valid Parentheses,stack matching,8192,20,166941.500000,162572.250000,141205.000000,177673.000000,1
v,24,Stack,20 Valid Parentheses,stack matching,8192,20,147493.000000,147851.700000,143552.000000,158100.000000,1
go,25,Stack/Queue,232 Queue Using Stacks,two stacks,512,20,2008.000000,2024.600000,1961.000000,2192.000000,130305
v,25,Stack/Queue,232 Queue Using Stacks,two stacks,512,20,7516.000000,7928.800000,6899.000000,11350.000000,130305
go,25,Stack/Queue,232 Queue Using Stacks,two stacks,2048,20,8065.000000,8115.150000,7799.000000,8596.000000,2094081
v,25,Stack/Queue,232 Queue Using Stacks,two stacks,2048,20,26558.500000,26975.500000,25813.000000,29472.000000,2094081
go,25,Stack/Queue,232 Queue Using Stacks,two stacks,8192,20,34103.000000,34409.500000,32773.000000,36471.000000,33542145
v,25,Stack/Queue,232 Queue Using Stacks,two stacks,8192,20,130688.000000,136073.000000,119647.000000,164224.000000,33542145
go,26,Stack/Queue,225 Stack Using Queues,queue rotation,512,20,340730.000000,344758.000000,334060.000000,387253.000000,130305
v,26,Stack/Queue,225 Stack Using Queues,queue rotation,512,20,366653.000000,367995.450000,357700.000000,382033.000000,130305
go,26,Stack/Queue,225 Stack Using Queues,queue rotation,2048,20,5436100.000000,5426539.650000,5123400.000000,5553466.000000,2094081
v,26,Stack/Queue,225 Stack Using Queues,queue rotation,2048,20,5778066.500000,5791761.350000,5673166.000000,5937633.000000,2094081
go,26,Stack/Queue,225 Stack Using Queues,queue rotation,8192,20,46570300.000000,46607181.300000,46188533.000000,47069666.000000,17997000
v,26,Stack/Queue,225 Stack Using Queues,queue rotation,8192,20,49496283.000000,49508038.000000,49031433.000000,50352533.000000,17997000
go,27,Stack,155 Min Stack,auxiliary stack,512,20,2738.000000,2866.950000,2453.000000,4013.000000,-1020857
v,27,Stack,155 Min Stack,auxiliary stack,512,20,9068.500000,9254.800000,8640.000000,10713.000000,-1020857
go,27,Stack,155 Min Stack,auxiliary stack,2048,20,9298.500000,9449.050000,8897.000000,11088.000000,-4101640
v,27,Stack,155 Min Stack,auxiliary stack,2048,20,36444.000000,37243.350000,35017.000000,52313.000000,-4101640
go,27,Stack,155 Min Stack,auxiliary stack,8192,20,36764.000000,37741.850000,34736.000000,43108.000000,-16691514
v,27,Stack,155 Min Stack,auxiliary stack,8192,20,141385.500000,144741.350000,136469.000000,195951.000000,-16691514
go,28,Stack,150 Evaluate RPN,expression stack,512,20,203.000000,204.150000,195.000000,220.000000,4789283114608650198
v,28,Stack,150 Evaluate RPN,expression stack,512,20,577.500000,600.400000,546.000000,877.000000,4789283114608650198
go,28,Stack,150 Evaluate RPN,expression stack,2048,20,778.500000,781.800000,752.000000,848.000000,2562913644776025300
v,28,Stack,150 Evaluate RPN,expression stack,2048,20,2637.500000,2622.800000,2150.000000,3190.000000,2562913644776025300
go,28,Stack,150 Evaluate RPN,expression stack,8192,20,3166.500000,3199.200000,2969.000000,3610.000000,2486631328035702984
v,28,Stack,150 Evaluate RPN,expression stack,8192,20,9316.000000,9773.600000,8368.000000,12405.000000,2486631328035702984
go,29,Queue,239 Sliding Window Maximum,monotone queue,512,20,3345.000000,3393.950000,3238.000000,3899.000000,8075062784032496627
v,29,Queue,239 Sliding Window Maximum,monotone queue,512,20,9111.000000,9489.000000,8667.000000,12282.000000,8075062784032496627
go,29,Queue,239 Sliding Window Maximum,monotone queue,2048,20,12987.000000,13097.550000,12678.000000,14262.000000,3463545103701985631
v,29,Queue,239 Sliding Window Maximum,monotone queue,2048,20,37554.000000,37654.000000,35592.000000,40859.000000,3463545103701985631
go,29,Queue,239 Sliding Window Maximum,monotone queue,8192,20,53576.500000,54235.550000,50170.000000,59317.000000,7849731789083648549
v,29,Queue,239 Sliding Window Maximum,monotone queue,8192,20,159813.000000,161156.400000,147155.000000,191155.000000,7849731789083648549
go,30,MonotonicStack,739 Daily Temperatures,monotone stack,512,20,2715.000000,2767.400000,2656.000000,3163.000000,3260672784218282690
v,30,MonotonicStack,739 Daily Temperatures,monotone stack,512,20,7678.000000,7881.300000,7263.000000,9641.000000,3260672784218282690
go,30,MonotonicStack,739 Daily Temperatures,monotone stack,2048,20,10845.500000,10910.750000,10515.000000,11693.000000,1186505024710596298
v,30,MonotonicStack,739 Daily Temperatures,monotone stack,2048,20,31269.000000,31867.250000,29512.000000,36598.000000,1186505024710596298
go,30,MonotonicStack,739 Daily Temperatures,monotone stack,8192,20,43657.500000,44101.350000,41208.000000,49580.000000,2157978324066631147
v,30,MonotonicStack,739 Daily Temperatures,monotone stack,8192,20,132163.500000,131684.550000,119077.000000,143013.000000,2157978324066631147
go,31,MonotonicStack,84 Largest Rectangle,advanced monotone stack,512,20,2163.500000,2207.550000,1984.000000,2822.000000,5805
v,31,MonotonicStack,84 Largest Rectangle,advanced monotone stack,512,20,6786.500000,6851.950000,6422.000000,7874.000000,5805
go,31,MonotonicStack,84 Largest Rectangle,advanced monotone stack,2048,20,7475.500000,7497.350000,7164.000000,8021.000000,7980
v,31,MonotonicStack,84 Largest Rectangle,advanced monotone stack,2048,20,28109.500000,27869.350000,26244.000000,29400.000000,7980
go,31,MonotonicStack,84 Largest Rectangle,advanced monotone stack,8192,20,29457.500000,29904.200000,28347.000000,33105.000000,9018
v,31,MonotonicStack,84 Largest Rectangle,advanced monotone stack,8192,20,122758.000000,121749.050000,114584.000000,133664.000000,9018
go,32,Heap,215 Kth Largest,min heap,512,20,27047.000000,27278.300000,26071.000000,28963.000000,8400
v,32,Heap,215 Kth Largest,min heap,512,20,24528.000000,24705.700000,22771.000000,27134.000000,8400
go,32,Heap,215 Kth Largest,min heap,2048,20,151773.500000,150663.000000,138983.000000,169873.000000,8345
v,32,Heap,215 Kth Largest,min heap,2048,20,136261.000000,141888.650000,127123.000000,163557.000000,8345
go,32,Heap,215 Kth Largest,min heap,8192,20,668705.000000,660267.300000,555877.000000,758055.000000,8014
v,32,Heap,215 Kth Largest,min heap,8192,20,798127.000000,800877.250000,768277.000000,846455.000000,8014
go,33,Heap/Hash,347 Top K Frequent,hash and heap,512,20,11688.500000,11734.750000,11128.000000,13509.000000,16167873
v,33,Heap/Hash,347 Top K Frequent,hash and heap,512,20,10814.500000,10958.400000,10289.000000,12825.000000,16167873
go,33,Heap/Hash,347 Top K Frequent,hash and heap,2048,20,46033.500000,46127.750000,44020.000000,49044.000000,16173505
v,33,Heap/Hash,347 Top K Frequent,hash and heap,2048,20,36759.500000,38359.250000,34993.000000,43950.000000,16173505
go,33,Heap/Hash,347 Top K Frequent,hash and heap,8192,20,185568.000000,184653.200000,164848.000000,215083.000000,16185793
v,33,Heap/Hash,347 Top K Frequent,hash and heap,8192,20,149069.000000,149330.900000,134520.000000,175660.000000,16185793
go,34,Heap,295 Median Finder,two heaps,512,20,78000.000000,79124.400000,69014.000000,91892.000000,-30948
v,34,Heap,295 Median Finder,two heaps,512,20,57837.000000,62210.200000,55147.000000,88645.000000,-30948
go,34,Heap,295 Median Finder,two heaps,2048,20,416924.500000,416274.600000,369346.000000,482816.000000,-67159
v,34,Heap,295 Median Finder,two heaps,2048,20,350296.500000,354282.300000,318855.000000,392013.000000,-67159
go,34,Heap,295 Median Finder,two heaps,8192,20,1730649.500000,1772125.600000,1630700.000000,2088700.000000,-259269
v,34,Heap,295 Median Finder,two heaps,8192,20,1722083.000000,1735543.000000,1668566.000000,1881866.000000,-259269
go,35,BinaryTree,102 Level Order,BFS queue,512,20,3178.500000,3187.450000,3018.000000,3444.000000,254665
v,35,BinaryTree,102 Level Order,BFS queue,512,20,16128.500000,17264.850000,11199.000000,25718.000000,254665
go,35,BinaryTree,102 Level Order,BFS queue,2048,20,13675.000000,13757.600000,12891.000000,14856.000000,1038833
v,35,BinaryTree,102 Level Order,BFS queue,2048,20,52510.500000,50792.400000,41703.000000,62018.000000,1038833
go,35,BinaryTree,102 Level Order,BFS queue,8192,20,53664.000000,54393.100000,49700.000000,61269.000000,4080833
v,35,BinaryTree,102 Level Order,BFS queue,8192,20,174804.500000,182429.000000,156121.000000,228029.000000,4080833
go,36,BinaryTree,104 Maximum Depth,DFS recursion,512,20,6.000000,5.900000,5.000000,6.000000,10
v,36,BinaryTree,104 Maximum Depth,DFS recursion,512,20,8.000000,8.300000,8.000000,9.000000,10
go,36,BinaryTree,104 Maximum Depth,DFS recursion,2048,20,6.000000,6.150000,6.000000,7.000000,12
v,36,BinaryTree,104 Maximum Depth,DFS recursion,2048,20,9.000000,8.850000,8.000000,9.000000,12
go,36,BinaryTree,104 Maximum Depth,DFS recursion,8192,20,7.000000,6.550000,6.000000,7.000000,14
v,36,BinaryTree,104 Maximum Depth,DFS recursion,8192,20,9.000000,9.000000,9.000000,9.000000,14
go,37,BinaryTree,110 Balanced Binary Tree,bottom up recursion,512,20,1174.000000,1176.400000,1140.000000,1259.000000,1
v,37,BinaryTree,110 Balanced Binary Tree,bottom up recursion,512,20,500.000000,507.150000,484.000000,560.000000,1
go,37,BinaryTree,110 Balanced Binary Tree,bottom up recursion,2048,20,5045.500000,5062.300000,4887.000000,5510.000000,1
v,37,BinaryTree,110 Balanced Binary Tree,bottom up recursion,2048,20,1362.500000,1357.450000,1312.000000,1430.000000,1
go,37,BinaryTree,110 Balanced Binary Tree,bottom up recursion,8192,20,20192.500000,20229.650000,19432.000000,21186.000000,1
v,37,BinaryTree,110 Balanced Binary Tree,bottom up recursion,8192,20,8304.500000,8319.900000,8010.000000,8673.000000,1
go,38,BinaryTree,226 Invert Binary Tree,tree recursion,512,20,2357.000000,2403.950000,2208.000000,2811.000000,9892191728
v,38,BinaryTree,226 Invert Binary Tree,tree recursion,512,20,3398.000000,3457.450000,3100.000000,3985.000000,9892191728
go,38,BinaryTree,226 Invert Binary Tree,tree recursion,2048,20,9296.500000,9370.400000,8777.000000,10075.000000,607819195008
v,38,BinaryTree,226 Invert Binary Tree,tree recursion,2048,20,15338.500000,15324.800000,13433.000000,17924.000000,607819195008
go,38,BinaryTree,226 Invert Binary Tree,tree recursion,8192,20,35587.000000,35860.150000,34040.000000,38583.000000,39930046051600
v,38,BinaryTree,226 Invert Binary Tree,tree recursion,8192,20,54880.000000,55127.650000,51578.000000,60721.000000,39930046051600
go,39,BinaryTree,101 Symmetric Tree,dual recursion,512,20,1391.500000,1386.600000,1307.000000,1536.000000,0
v,39,BinaryTree,101 Symmetric Tree,dual recursion,512,20,2728.000000,2772.850000,2436.000000,3372.000000,0
go,39,BinaryTree,101 Symmetric Tree,dual recursion,2048,20,6009.500000,6004.900000,5734.000000,6357.000000,0
v,39,BinaryTree,101 Symmetric Tree,dual recursion,2048,20,11719.500000,11657.100000,11136.000000,12325.000000,0
go,39,BinaryTree,101 Symmetric Tree,dual recursion,8192,20,26904.000000,27115.500000,26127.000000,29051.000000,0
v,39,BinaryTree,101 Symmetric Tree,dual recursion,8192,20,49411.000000,49976.100000,47551.000000,54379.000000,0
